,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
12,new,IBM,"Yorktown Heights, NY+1 location",N/A,"We focus on circuit designs that enable the creation of differentiated solutions for a range of Quantum devices.
Preferred Technical and Professional Expertise.",Posted2 days ago,2022-05-05
13,new,Humanity,"Amsterdam, NY 12010",Estimated $78.3K - $99.1K a year,You will use your expertise to improve the quality of Research craft and train researchers and non-researchers in best practices.,Posted4 days ago,2022-05-05
14,Design Researcher,Fractal.ai,"Remote in New York, NY",N/A,"Has hands on experience as a design researcher.
The design researcher works hand-in-glove with the interaction designer.",Posted22 days ago,2022-05-05
15,Senior UX Researcher,Shortcut,"Remote in New York, NY",N/A,"Thousands of the fastest-growing software companies use Shortcut to plan and build software, including Glossier, Venmo, Daitaku, Scale AI, FullStory,…",Posted30+ days ago,2022-05-05
16,"Visual Designer, Google Research",Google,"New York, NY (Chelsea area)",N/A,"Bachelor's degree in Design, Human-Computer Interaction, Computer Science, a related field, or equivalent practical experience.",Posted8 days ago,2022-05-05
17,"Human Effects UX Researcher , Human Effects",Amazon.com Services LLC,"New York, NY+2 locations",N/A,"5+ years of hands-on experience conducting customer and market research in an applied setting.
Passion and track record of using qualitative + quantitative data…",Posted30+ days ago,2022-05-05
18,"Content Strategy Manager, UX",Google,"Hybrid remote in New York, NY",N/A,"Work with product managers, UX researchers and designers, and marketing groups to ensure cross-functional collaboration and prioritization across teams.",Posted30+ days ago,2022-05-05
19,"Designer II, UX Research",Samsung Electronics,"New York, NY 10011 (Chelsea area)",N/A,The Customer & Market Insights Researcher independently designs and executes actionable research studies from concept generation through product release.,Posted13 days ago,2022-05-05
20,"Qualitative UX Researcher, University Grad",Facebook App,"New York, NY+10 locations",N/A,"Work closely with product teams, as well as other researchers, to identify important research questions.
This job description represents different UX Research…",Posted30+ days ago,2022-05-05
21,"Lead UX Researcher, Retail",Square,"New York, NY+2 locations",N/A,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…",Posted15 days ago,2022-05-05
22,Principal UX Researcher (remote option available),ADP,"Remote in New York, NY 10011+1 location",N/A,You're on a constant mission to understand them better by analyzing research data and asking key questions that inform our product and design decisions.,Posted30+ days ago,2022-05-05
23,Marketing Insights Researcher- Instagram,Instagram,"New York, NY",N/A,"The Marketing Insights Researcher will be an integral part of the marketing team, and will design, execute and deliver high-impact primary research, both…",Posted8 days ago,2022-05-05
